                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4952,                 3.9516,                 4.2146,                      0,                      0,                      0,                      0,                 5.5499,                 3.9423,                 4.1577,             0.00010002,             0.00010002,             0.00010002
                      2,                 5.4393,                 3.7139,                 4.1467,                      0,                      0,                      0,                      0,                  5.536,                 3.9145,                 4.1492,              0.0002167,              0.0002167,              0.0002167
                      3,                   5.25,                 3.0715,                 4.0789,                 0.0009,                0.00143,                0.00045,                0.00011,                 5.5074,                 3.8766,                 4.1308,             0.00033332,             0.00033332,             0.00033332
                      4,                 4.9023,                 2.6874,                 4.0394,                0.00084,                0.00143,                0.00042,                 0.0001,                 5.4664,                  3.818,                 4.1059,             0.00044984,             0.00044984,             0.00044984
                      5,                 4.6881,                 2.4321,                 3.9345,                0.00087,                0.00169,                0.00044,                 0.0001,                 5.3284,                 3.6581,                 4.0363,             0.00056623,             0.00056623,             0.00056623
                      6,                  4.179,                   2.21,                 3.8499,                0.00541,                0.02206,                0.00283,                0.00074,                 5.1907,                 3.4614,                 3.9718,             0.00068243,             0.00068243,             0.00068243
                      7,                 3.8425,                 2.0286,                 3.7036,                0.02348,                0.06776,                0.01288,                0.00312,                 5.0735,                 3.2863,                 3.9148,              0.0007984,              0.0007984,              0.0007984
                      8,                 3.5239,                 1.9426,                 3.5749,                 0.0349,                0.09752,                0.01925,                0.00484,                 5.0051,                 3.1424,                  3.884,             0.00091411,             0.00091411,             0.00091411
                      9,                  3.407,                 1.8902,                 3.3984,                0.06198,                0.16562,                 0.0559,                0.01355,                 4.5182,                  2.603,                  3.731,              0.0010295,              0.0010295,              0.0010295
                     10,                 3.2513,                 1.8483,                 3.3121,                 0.6035,                0.11793,                0.10629,                0.02495,                 4.2458,                 2.4297,                 3.6161,              0.0011445,              0.0011445,              0.0011445
                     11,                 3.2014,                 1.7897,                 3.1222,                0.13569,                0.16642,                0.07471,                 0.0197,                 4.3364,                 2.1898,                 3.5707,              0.0012592,              0.0012592,              0.0012592
                     12,                 3.1509,                 1.7719,                 3.0324,                 0.0716,                0.12804,                0.04532,                 0.0111,                 4.9027,                 2.3228,                 3.7728,              0.0013734,              0.0013734,              0.0013734
                     13,                 3.0189,                 1.7713,                 2.9498,                0.04597,                0.13197,                 0.0265,                0.00698,                 4.9228,                    inf,                 3.7906,              0.0014871,              0.0014871,              0.0014871
                     14,                  2.977,                 1.7197,                 2.8503,                0.03905,                  0.101,                0.02955,                0.00673,                 5.1864,                 2.4354,                  3.912,              0.0016004,              0.0016004,              0.0016004
                     15,                 2.9747,                 1.6765,                 2.6822,                0.03469,                0.06739,                0.02607,                0.00585,                 5.3248,                 2.3973,                 4.0409,              0.0016471,              0.0016471,              0.0016471
                     16,                 2.8385,                 1.6786,                 2.6619,                 0.0217,                0.06085,                0.01518,                0.00312,                 5.3372,                 2.7996,                  4.009,              0.0016471,              0.0016471,              0.0016471
                     17,                 2.8172,                  1.579,                 2.5204,                 0.0316,                0.09196,                 0.0276,                0.00606,                 5.2002,                 2.5802,                 3.9105,              0.0016442,              0.0016442,              0.0016442
                     18,                 2.6793,                 1.6511,                 2.6404,                0.18706,                0.09492,                0.05795,                0.01374,                 4.8953,                 2.3258,                 3.7382,              0.0016411,              0.0016411,              0.0016411
                     19,                 2.7132,                 1.6189,                 2.5682,                0.30722,                0.22025,                0.16519,                0.04291,                 4.2004,                 1.8205,                 3.3992,              0.0016378,              0.0016378,              0.0016378
                     20,                  2.635,                 1.5648,                 2.4198,                0.44921,                0.48346,                0.40838,                0.15386,                 2.7202,                 1.5232,                 2.6738,              0.0016342,              0.0016342,              0.0016342
                     21,                 2.6026,                 1.5925,                 2.4398,                0.46194,                0.47148,                0.41076,                0.14566,                 2.9045,                 1.5542,                 2.7301,              0.0016305,              0.0016305,              0.0016305
                     22,                 2.6108,                 1.4968,                 2.3004,                0.48404,                0.51594,                0.47749,                0.18245,                 2.6925,                 1.4558,                   2.62,              0.0016266,              0.0016266,              0.0016266
                     23,                 2.4802,                 1.5324,                 2.3754,                0.44469,                0.53527,                0.44774,                0.17691,                  2.402,                 1.5078,                 2.4827,              0.0016225,              0.0016225,              0.0016225
                     24,                 2.4529,                 1.5409,                 2.3625,                0.51089,                0.53961,                0.51453,                0.20842,                 2.5128,                 1.4167,                 2.5151,              0.0016182,              0.0016182,              0.0016182
                     25,                 2.4001,                 1.4557,                 2.2886,                0.52897,                0.58942,                 0.5505,                0.22787,                 2.2805,                  1.413,                 2.3852,              0.0016137,              0.0016137,              0.0016137
                     26,                 2.3478,                 1.4333,                 2.2198,                0.44929,                0.59135,                 0.4884,                0.22511,                 2.1295,                 1.4447,                 2.2886,              0.0016091,              0.0016091,              0.0016091
                     27,                 2.2871,                 1.3974,                 2.1524,                0.50993,                0.57728,                 0.5397,                0.25314,                 2.0989,                 1.4161,                 2.2286,              0.0016042,              0.0016042,              0.0016042
                     28,                 2.1987,                 1.4186,                 2.2006,                0.54435,                0.55398,                0.55858,                0.26613,                 2.0612,                 1.4751,                 2.1928,              0.0015991,              0.0015991,              0.0015991
                     29,                 2.1758,                  1.381,                 2.1396,                0.54919,                0.55677,                0.56913,                0.24676,                 2.1561,                 1.5426,                 2.2138,              0.0015939,              0.0015939,              0.0015939
                     30,                 2.1462,                 1.3417,                 2.0769,                0.57988,                0.60733,                0.60308,                0.29861,                 1.9424,                  1.419,                 2.1066,              0.0015885,              0.0015885,              0.0015885
                     31,                 2.1387,                 1.3112,                 2.0506,                0.64228,                0.61461,                0.64755,                0.33085,                 1.9069,                 1.3113,                 2.0559,              0.0015829,              0.0015829,              0.0015829
                     32,                 2.0908,                 1.3038,                 2.0059,                0.39541,                0.49819,                0.41359,                0.15901,                 2.4155,                 1.6715,                 2.2803,              0.0015771,              0.0015771,              0.0015771
                     33,                 2.1002,                 1.3364,                 2.0297,                0.38251,                0.50459,                0.40446,                0.18208,                 2.1272,                 1.6168,                  2.155,              0.0015711,              0.0015711,              0.0015711
                     34,                 2.0044,                 1.2772,                 1.9625,                0.52584,                0.58279,                0.55708,                0.29171,                 1.8684,                 1.3724,                 2.0153,              0.0015649,              0.0015649,              0.0015649
                     35,                 1.9787,                 1.3003,                  1.997,                0.57812,                0.56286,                0.58181,                0.26599,                 2.0654,                 1.4177,                 2.0895,              0.0015586,              0.0015586,              0.0015586
                     36,                 1.9447,                 1.2211,                 1.9108,                0.51561,                0.55538,                0.52107,                0.23752,                 2.0978,                 1.4556,                 2.0999,              0.0015521,              0.0015521,              0.0015521
                     37,                 1.8697,                 1.2124,                 1.9137,                0.52781,                0.53039,                0.51288,                0.21917,                 2.2059,                 1.5325,                 2.1454,              0.0015454,              0.0015454,              0.0015454
