                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1503,                 2.7579,                 3.1289,                0.00946,                0.11179,                 0.0055,                0.00189,                 5.0395,                    inf,                 1341.6,                 0.0705,              0.0032778,              0.0032778
                      2,                 2.2174,                 2.2302,                 2.3901,                0.50263,                0.01244,                 0.0005,                0.00011,                 5.0158,                    inf,                 37.245,                 0.0405,              0.0066109,              0.0066109
                      3,                 1.9302,                 2.0213,                 2.1626,                0.39509,                0.41168,                0.34372,                0.12825,                 2.1014,                  2.429,                 2.6421,               0.010499,              0.0099434,              0.0099434
                      4,                  1.741,                 1.8797,                 1.9942,                0.41903,                0.47647,                0.41398,                 0.1714,                 1.8699,                 2.0315,                 2.2421,              0.0099976,              0.0099976,              0.0099976
                      5,                 1.6182,                 1.7381,                 1.8803,                0.51638,                0.55712,                0.51727,                0.25838,                 1.6554,                 1.8507,                 1.9886,              0.0099976,              0.0099976,              0.0099976
                      6,                 1.5067,                 1.6394,                 1.7745,                0.48209,                0.60847,                0.51059,                0.29601,                 1.3954,                 1.7088,                 1.7286,              0.0099957,              0.0099957,              0.0099957
                      7,                 1.4016,                  1.553,                 1.6876,                0.51515,                 0.5782,                 0.5095,                0.29086,                 1.4125,                 1.9145,                  1.771,              0.0099932,              0.0099932,              0.0099932
                      8,                 1.3424,                 1.4665,                 1.6275,                0.50899,                0.55126,                0.49671,                0.26015,                 1.5577,                  1.911,                 1.9135,              0.0099902,              0.0099902,              0.0099902
                      9,                 1.3025,                 1.4269,                  1.591,                0.59538,                0.65226,                0.63402,                0.41009,                 1.2888,                 1.4343,                 1.6115,              0.0099867,              0.0099867,              0.0099867
                     10,                 1.2508,                 1.3964,                 1.5693,                0.63255,                0.65161,                0.66617,                0.44757,                  1.143,                 1.4483,                 1.5361,              0.0099826,              0.0099826,              0.0099826
                     11,                 1.2041,                 1.3486,                 1.5324,                0.60169,                0.67308,                0.67176,                0.46462,                 1.0976,                 1.3659,                 1.4949,               0.009978,               0.009978,               0.009978
                     12,                 1.1918,                 1.3216,                 1.5159,                0.64366,                0.66456,                0.68486,                0.47384,                 1.0606,                 1.3054,                 1.4679,              0.0099729,              0.0099729,              0.0099729
                     13,                 1.1763,                 1.3065,                 1.5091,                0.54729,                0.64205,                0.62699,                0.42999,                 1.0781,                 1.3819,                 1.4759,              0.0099672,              0.0099672,              0.0099672
                     14,                 1.1194,                 1.2629,                 1.4606,                0.63232,                0.67791,                0.67514,                0.45979,                 1.0799,                 1.2683,                 1.4663,               0.009961,               0.009961,               0.009961
                     15,                 1.0854,                 1.2096,                 1.4258,                0.62588,                0.68102,                 0.6978,                0.50151,                  1.004,                 1.1893,                 1.4228,              0.0099542,              0.0099542,              0.0099542
                     16,                 1.0683,                 1.2195,                 1.4229,                0.65132,                0.68553,                0.70737,                0.51634,                0.95696,                 1.2034,                 1.3997,              0.0099469,              0.0099469,              0.0099469
                     17,                  1.045,                 1.1847,                 1.4036,                0.63782,                0.69367,                 0.6987,                0.50871,                0.98048,                 1.1391,                 1.3905,              0.0099391,              0.0099391,              0.0099391
