                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5705,                 3.0791,                 4.0813,                0.00686,                0.20712,                0.00697,                0.00199,                 3.2339,                 3.6188,                 4.0178,             0.00054641,             0.00054641,             0.00054641
                      2,                 2.7044,                 2.2098,                 3.2852,                0.21368,                0.24422,                0.13839,                 0.0406,                 2.7712,                 2.7014,                 3.4506,               0.001102,               0.001102,               0.001102
                      3,                 2.2194,                 1.9806,                 2.7122,                0.46733,                0.51914,                0.45843,                0.20092,                 1.9437,                 2.0515,                 2.5475,              0.0016576,              0.0016576,              0.0016576
                      4,                 1.9236,                  1.771,                 2.4138,                 0.5929,                0.59504,                0.61219,                0.31592,                 1.6435,                 1.7345,                 2.2833,              0.0016666,              0.0016666,              0.0016666
                      5,                 1.6995,                 1.5874,                 2.1818,                0.59984,                0.64707,                0.64206,                0.34274,                 1.6188,                 1.5113,                 2.2157,              0.0016666,              0.0016666,              0.0016666
                      6,                 1.5467,                 1.4752,                 2.0353,                0.63889,                0.64654,                0.67718,                0.43561,                 1.2637,                 1.4553,                 1.9129,              0.0016663,              0.0016663,              0.0016663
                      7,                 1.4183,                 1.3857,                 1.9098,                0.59141,                0.65779,                0.63368,                0.40918,                 1.2182,                 1.4379,                 1.8573,              0.0016659,              0.0016659,              0.0016659
                      8,                 1.3569,                 1.3154,                 1.8391,                0.59699,                0.65508,                0.64856,                0.43336,                 1.1893,                 1.4144,                 1.8376,              0.0016654,              0.0016654,              0.0016654
                      9,                  1.295,                 1.2748,                 1.7869,                0.65768,                0.70284,                0.72445,                0.50586,                 1.1101,                  1.167,                 1.7215,              0.0016648,              0.0016648,              0.0016648
                     10,                 1.2115,                 1.2338,                 1.7278,                0.67211,                0.70177,                0.73332,                0.53038,                 1.0101,                 1.1459,                 1.6432,              0.0016641,              0.0016641,              0.0016641
