                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4316,                 2.7445,                 3.4063,                0.01379,                0.26716,                0.03347,                0.00825,                 3.3358,                  3.319,                 3.1605,               0.067255,             3.2778e-05,             3.2778e-05
                      2,                 2.9909,                  2.328,                 3.0711,                0.56705,                0.10213,                0.05927,                0.01899,                 3.2324,                 2.9783,                 3.2464,               0.033955,             6.6109e-05,             6.6109e-05
                      3,                 2.7627,                 2.2041,                 2.8953,                0.17737,                0.41853,                0.15643,                0.04424,                   3.05,                 2.4381,                 3.1103,             0.00065499,             9.9434e-05,             9.9434e-05
                      4,                 2.5942,                 2.1217,                 2.7682,                 0.1814,                0.40575,                0.16978,                0.05533,                 2.8197,                 4.0848,                 2.8945,             9.9976e-05,             9.9976e-05,             9.9976e-05
                      5,                 2.4706,                 2.0262,                 2.6767,                0.18535,                0.54268,                 0.1924,                0.07649,                 2.5984,                 3.2531,                 2.7266,             9.9976e-05,             9.9976e-05,             9.9976e-05
                      6,                 2.3706,                 1.9519,                 2.6121,                0.20219,                0.43781,                0.20276,                0.06412,                 2.6719,                 3.6694,                 2.8197,             9.9957e-05,             9.9957e-05,             9.9957e-05
                      7,                 2.2825,                  1.879,                 2.5356,                0.32781,                0.44753,                0.27202,                0.11957,                 2.1659,                  2.687,                 2.4223,             9.9932e-05,             9.9932e-05,             9.9932e-05
                      8,                 2.1891,                 1.8088,                 2.4689,                0.28843,                0.52494,                0.29772,                0.11528,                  2.268,                  3.017,                  2.548,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      9,                 2.1029,                 1.7632,                 2.4099,                0.44243,                0.46374,                0.40431,                0.17206,                 2.1021,                   2.14,                 2.3706,             9.9867e-05,             9.9867e-05,             9.9867e-05
                     10,                 2.0317,                 1.7064,                 2.3481,                0.50559,                0.50967,                0.45485,                0.21791,                 1.9226,                 2.0929,                 2.2747,             9.9826e-05,             9.9826e-05,             9.9826e-05
                     11,                 1.9809,                 1.6699,                  2.294,                0.54224,                0.55801,                0.52904,                0.27992,                 1.7744,                 1.7293,                 2.1125,              9.978e-05,              9.978e-05,              9.978e-05
                     12,                 1.9217,                  1.623,                 2.2404,                0.56689,                0.58315,                0.55869,                0.30403,                 1.6985,                 1.6875,                 2.0382,             9.9729e-05,             9.9729e-05,             9.9729e-05
                     13,                 1.8745,                 1.5768,                  2.193,                0.52768,                0.56712,                0.50736,                0.25322,                 1.7772,                 1.8098,                  2.137,             9.9672e-05,             9.9672e-05,             9.9672e-05
                     14,                 1.8187,                 1.5339,                 2.1359,                  0.559,                0.58498,                0.55791,                0.29905,                  1.679,                 1.6297,                 1.9902,              9.961e-05,              9.961e-05,              9.961e-05
                     15,                 1.7588,                 1.4869,                 2.0737,                 0.5798,                0.60538,                0.58521,                 0.3422,                 1.5962,                 1.5665,                 1.8814,             9.9542e-05,             9.9542e-05,             9.9542e-05
                     16,                 1.7013,                 1.4567,                 2.0214,                0.57463,                 0.6123,                0.58661,                0.35562,                 1.4976,                 1.5423,                 1.8384,             9.9469e-05,             9.9469e-05,             9.9469e-05
                     17,                 1.6674,                 1.4219,                 1.9884,                 0.6109,                0.64267,                0.64043,                0.39579,                 1.4679,                 1.4143,                 1.7689,             9.9391e-05,             9.9391e-05,             9.9391e-05
                     18,                 1.6139,                  1.401,                 1.9425,                0.66225,                0.65974,                0.69933,                0.44413,                 1.4296,                  1.274,                 1.7365,             9.9307e-05,             9.9307e-05,             9.9307e-05
                     19,                 1.5659,                 1.3514,                 1.8907,                0.67752,                 0.6536,                0.70329,                0.45637,                 1.3754,                 1.2518,                 1.6657,             9.9218e-05,             9.9218e-05,             9.9218e-05
                     20,                  1.507,                 1.3135,                 1.8422,                0.62803,                0.67194,                0.67568,                0.43843,                  1.336,                 1.3554,                 1.7146,             9.9123e-05,             9.9123e-05,             9.9123e-05
                     21,                 1.4674,                  1.289,                 1.8087,                0.66674,                0.68451,                0.71428,                0.47605,                 1.3076,                 1.1802,                 1.5857,             9.9023e-05,             9.9023e-05,             9.9023e-05
                     22,                 1.4296,                 1.2528,                 1.7712,                0.66505,                 0.6983,                0.72595,                0.49914,                 1.2354,                 1.1616,                  1.562,             9.8918e-05,             9.8918e-05,             9.8918e-05
                     23,                  1.412,                  1.251,                 1.7502,                 0.6914,                0.68081,                 0.7351,                0.51581,                 1.1873,                 1.1156,                 1.5164,             9.8808e-05,             9.8808e-05,             9.8808e-05
                     24,                 1.3721,                 1.2225,                 1.7181,                0.67534,                0.69706,                0.73001,                0.51699,                 1.1519,                 1.1128,                 1.5106,             9.8692e-05,             9.8692e-05,             9.8692e-05
                     25,                 1.3337,                 1.1992,                 1.6922,                 0.6615,                0.69484,                0.72466,                0.50429,                 1.1654,                 1.1534,                 1.5303,             9.8571e-05,             9.8571e-05,             9.8571e-05
