                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9982,                 2.7056,                 3.2412,                0.00804,                0.21599,                0.00592,                0.00189,                 4.6658,                    inf,                 1408.1,                 0.0705,              0.0032778,              0.0032778
                      2,                 2.2464,                 2.2726,                 2.5569,                0.04686,                0.11598,                0.02484,                0.00712,                 3.6725,                  4.516,                 10.035,                 0.0405,              0.0066107,              0.0066107
                      3,                 1.9204,                 2.0617,                 2.2965,                0.33639,                 0.4241,                0.30245,                0.09316,                 2.2366,                 2.3581,                 2.8742,               0.010498,               0.009942,               0.009942
                      4,                  1.786,                 1.9289,                 2.1684,                0.38344,                0.47112,                0.36496,                0.14861,                 1.9459,                 2.5535,                  2.552,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.6585,                 1.8192,                 2.0547,                0.43239,                0.50413,                0.42662,                 0.1907,                 1.7691,                 2.0148,                 2.2572,              0.0099945,              0.0099945,              0.0099945
                      6,                 1.5823,                 1.7218,                 1.9745,                0.56434,                0.57767,                0.56716,                0.29694,                 1.4902,                 1.7773,                 2.0151,              0.0099902,              0.0099902,              0.0099902
                      7,                 1.4871,                 1.6148,                 1.8921,                0.50393,                 0.6194,                0.53922,                0.30103,                 1.4533,                 1.5899,                 1.9712,              0.0099847,              0.0099847,              0.0099847
                      8,                 1.4658,                 1.5588,                 1.8515,                0.54222,                0.59999,                0.55098,                0.31379,                 1.3851,                 1.5794,                 1.8746,               0.009978,               0.009978,               0.009978
                      9,                 1.3955,                  1.503,                 1.8083,                0.56951,                0.64394,                0.60676,                0.34647,                 1.4269,                 1.4759,                 1.9161,              0.0099701,              0.0099701,              0.0099701
                     10,                 1.3343,                 1.4449,                 1.7643,                0.58026,                0.60131,                0.59671,                 0.3479,                 1.4034,                  1.742,                 1.9301,               0.009961,               0.009961,               0.009961
                     11,                 1.3188,                 1.4452,                 1.7377,                0.59045,                0.63637,                0.63172,                0.38146,                 1.3103,                 1.5992,                   1.84,              0.0099506,              0.0099506,              0.0099506
                     12,                 1.2386,                  1.371,                 1.6761,                0.66551,                0.67512,                0.71946,                0.47922,                 1.1482,                 1.2468,                 1.6719,              0.0099391,              0.0099391,              0.0099391
                     13,                 1.2159,                 1.3353,                 1.6581,                0.65044,                0.68023,                0.71532,                0.49472,                 1.0563,                 1.2263,                 1.6207,              0.0099263,              0.0099263,              0.0099263
                     14,                 1.1964,                 1.3246,                 1.6377,                0.61379,                0.64155,                0.64095,                0.41404,                 1.1449,                 1.3429,                 1.7133,              0.0099123,              0.0099123,              0.0099123
                     15,                 1.1526,                 1.2746,                 1.5973,                0.64827,                0.67756,                0.70665,                0.48758,                 1.0672,                 1.2166,                 1.6232,              0.0098972,              0.0098972,              0.0098972
                     16,                 1.1381,                 1.2695,                 1.5859,                0.66499,                0.68173,                0.70932,                0.47774,                 1.0865,                 1.1799,                  1.606,              0.0098808,              0.0098808,              0.0098808
                     17,                 1.1168,                 1.2498,                 1.5633,                0.67507,                0.68507,                0.73128,                0.51348,                 1.0778,                 1.1837,                 1.6009,              0.0098632,              0.0098632,              0.0098632
                     18,                 1.1056,                  1.223,                 1.5609,                0.63786,                   0.67,                0.70344,                0.49134,                0.99381,                 1.2266,                 1.5696,              0.0098445,              0.0098445,              0.0098445
                     19,                  1.083,                  1.213,                 1.5393,                0.62399,                0.67592,                0.67837,                0.47496,                 1.0271,                 1.1794,                 1.5713,              0.0098246,              0.0098246,              0.0098246
                     20,                 1.0631,                 1.2029,                 1.5244,                0.64313,                0.70409,                0.72425,                0.52723,                0.97463,                 1.1922,                 1.5114,              0.0098035,              0.0098035,              0.0098035
                     21,                 1.0401,                 1.1767,                 1.5089,                0.63129,                0.69209,                 0.6875,                0.49691,                0.95511,                 1.0985,                 1.5093,              0.0097812,              0.0097812,              0.0097812
                     22,                 1.0291,                 1.1755,                 1.4955,                0.66895,                0.71432,                0.74959,                0.55486,                0.90213,                 1.0633,                 1.4719,              0.0097577,              0.0097577,              0.0097577
                     23,                 1.0165,                 1.1665,                 1.4848,                0.66951,                0.70566,                0.73822,                0.55597,                0.87782,                 1.0483,                 1.4421,              0.0097331,              0.0097331,              0.0097331
                     24,                  1.004,                 1.1328,                 1.4788,                0.64403,                 0.6588,                0.69514,                0.50336,                0.95077,                 1.1977,                 1.5039,              0.0097074,              0.0097074,              0.0097074
                     25,                0.98951,                 1.1407,                 1.4754,                0.68278,                0.70296,                0.74314,                0.56137,                0.86024,                 1.0279,                 1.4164,              0.0096804,              0.0096804,              0.0096804
                     26,                0.97072,                 1.1125,                 1.4422,                0.67771,                0.70448,                0.75221,                0.56413,                0.85782,                 1.0351,                 1.4319,              0.0096524,              0.0096524,              0.0096524
                     27,                0.98999,                 1.1099,                 1.4488,                0.68195,                0.71287,                0.74939,                0.56046,                 0.9017,                 1.0343,                 1.4382,              0.0096232,              0.0096232,              0.0096232
                     28,                0.97194,                 1.1182,                 1.4416,                 0.6979,                0.70821,                0.76068,                0.56913,                0.89108,                0.99177,                 1.4421,              0.0095929,              0.0095929,              0.0095929
