                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0207,                 2.6683,                 3.2328,                0.03028,                 0.0768,                0.02711,                0.00694,                 3.5568,                    inf,                 3.8337,                 0.0705,              0.0032778,              0.0032778
                      2,                  2.219,                 2.2502,                 2.5232,                0.14348,                 0.1381,                0.09965,                0.03089,                 2.9668,                 3.4419,                 3.6359,                 0.0405,              0.0066107,              0.0066107
                      3,                 1.8938,                  2.048,                 2.2714,                0.15157,                0.37745,                0.15348,                0.05131,                 2.2434,                 5.3902,                 3.1453,               0.010498,               0.009942,               0.009942
                      4,                 1.7585,                 1.9369,                 2.1783,                0.33333,                0.47376,                0.30409,                 0.1188,                 1.9008,                 3.7405,                 2.6396,              0.0099945,              0.0099945,              0.0099945
                      5,                  1.641,                 1.7989,                 2.0861,                0.52384,                0.52122,                0.48611,                0.22677,                 1.6938,                 2.3047,                 2.2888,              0.0099945,              0.0099945,              0.0099945
                      6,                 1.5509,                 1.7262,                 2.0133,                0.53272,                0.60761,                0.57471,                0.32138,                 1.4388,                 1.7161,                  2.015,              0.0099902,              0.0099902,              0.0099902
                      7,                 1.4536,                 1.6209,                 1.9345,                0.35835,                0.49494,                0.33294,                0.16108,                 1.5726,                 2.3494,                 2.1701,              0.0099847,              0.0099847,              0.0099847
                      8,                 1.4011,                 1.5675,                 1.8808,                0.44619,                0.53079,                0.42967,                0.21776,                 1.5633,                 2.0407,                 2.1168,               0.009978,               0.009978,               0.009978
                      9,                 1.3976,                 1.5387,                 1.8759,                0.44948,                0.61087,                 0.5143,                0.30338,                 1.3406,                 1.7233,                 1.9449,              0.0099701,              0.0099701,              0.0099701
                     10,                 1.3216,                 1.4962,                 1.8157,                0.56379,                 0.6232,                0.59283,                0.36365,                 1.3015,                 1.6307,                 1.9059,               0.009961,               0.009961,               0.009961
