                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3904,                0.23686,                 3.1663,                0.00742,                0.14375,                0.00734,                0.00213,                 3.1858,                0.47138,                 2.9457,               0.067255,             3.2778e-05,             3.2778e-05
                      2,                  2.751,                0.17066,                 2.6863,                0.00357,                0.10794,                0.00218,                0.00063,                 3.9286,                    inf,                 3.6254,               0.033955,             6.6109e-05,             6.6109e-05
                      3,                  2.429,                0.17425,                 2.5097,                0.02056,                0.10634,                0.01121,                0.00428,                 3.7738,                    inf,                 3.4303,             0.00065499,             9.9434e-05,             9.9434e-05
                      4,                 2.2418,                0.17786,                 2.3744,                  0.038,                0.21783,                0.02734,                0.01033,                 3.3455,                    inf,                 3.2047,             9.9976e-05,             9.9976e-05,             9.9976e-05
                      5,                 2.0894,                0.17781,                 2.2654,                0.13063,                0.29127,                 0.1046,                 0.0426,                 2.6727,                0.45576,                 2.5909,             9.9976e-05,             9.9976e-05,             9.9976e-05
                      6,                 1.9658,                0.17579,                  2.166,                0.38516,                0.42176,                0.34859,                0.15594,                 2.0707,                0.19739,                 2.1388,             9.9957e-05,             9.9957e-05,             9.9957e-05
                      7,                 1.8763,                0.17527,                 2.1005,                0.42298,                0.47736,                0.40217,                0.18552,                 1.9116,                0.19023,                  2.027,             9.9932e-05,             9.9932e-05,             9.9932e-05
                      8,                 1.7818,                0.17271,                 2.0228,                0.42606,                0.46439,                0.39766,                0.17197,                 1.8796,                0.27604,                 2.0698,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      9,                 1.6903,                0.17474,                 1.9569,                0.48099,                0.57741,                0.55091,                0.30894,                 1.5227,                0.20837,                 1.7523,             9.9867e-05,             9.9867e-05,             9.9867e-05
                     10,                 1.6069,                0.17599,                 1.8948,                0.54767,                0.57584,                0.56819,                0.31393,                 1.5419,                0.18373,                 1.7838,             9.9826e-05,             9.9826e-05,             9.9826e-05
                     11,                 1.5508,                0.17523,                 1.8522,                0.56776,                 0.5502,                0.56868,                0.30884,                 1.5263,                0.19505,                 1.7928,              9.978e-05,              9.978e-05,              9.978e-05
                     12,                 1.4904,                0.17558,                 1.8001,                0.59478,                0.61918,                0.63626,                0.39077,                 1.3515,                0.18126,                 1.6276,             9.9729e-05,             9.9729e-05,             9.9729e-05
                     13,                 1.4482,                 0.1751,                 1.7662,                0.62539,                0.61575,                0.64592,                0.39495,                 1.3066,                0.19865,                 1.6121,             9.9672e-05,             9.9672e-05,             9.9672e-05
                     14,                 1.3835,                0.17469,                 1.7176,                0.65761,                  0.658,                0.68812,                0.44481,                 1.2256,                0.17954,                 1.5375,              9.961e-05,              9.961e-05,              9.961e-05
                     15,                 1.3171,                0.17265,                 1.6587,                0.65521,                 0.6477,                0.67996,                0.44399,                 1.1732,                0.18849,                 1.5133,             9.9542e-05,             9.9542e-05,             9.9542e-05
                     16,                 1.2686,                0.17464,                 1.6228,                0.66963,                0.64301,                0.69564,                0.47613,                 1.0939,                0.18084,                 1.4437,             9.9469e-05,             9.9469e-05,             9.9469e-05
                     17,                 1.2364,                0.17373,                 1.5964,                  0.657,                0.66066,                0.70689,                0.48681,                 1.0742,                0.17844,                 1.4309,             9.9391e-05,             9.9391e-05,             9.9391e-05
                     18,                  1.209,                0.17628,                 1.5785,                 0.6712,                0.67003,                0.71885,                0.50032,                 1.0525,                0.17898,                 1.4255,             9.9307e-05,             9.9307e-05,             9.9307e-05
                     19,                 1.1633,                0.17458,                 1.5407,                0.65427,                0.67435,                0.71168,                0.51642,                0.95447,                0.18317,                 1.3548,             9.9218e-05,             9.9218e-05,             9.9218e-05
                     20,                 1.1126,                0.17688,                  1.506,                0.67119,                0.67156,                0.71311,                0.51904,                0.96185,                0.18473,                  1.369,             9.9123e-05,             9.9123e-05,             9.9123e-05
                     21,                 1.0924,                0.17682,                  1.493,                0.68404,                 0.6905,                0.74371,                0.55709,                0.90534,                0.17209,                 1.3239,             9.9023e-05,             9.9023e-05,             9.9023e-05
