                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90804,                 1.0982,                 1.3479,                0.66201,                0.69908,                0.73842,                0.56639,                0.83036,                 1.0416,                 1.3791,              0.0097074,              0.0097074,              0.0097074
                     36,                0.90645,                 1.0989,                 1.3485,                0.68501,                0.70013,                0.74772,                 0.5875,                0.78359,                0.96083,                 1.3323,              0.0096895,              0.0096895,              0.0096895
                     37,                0.89618,                 1.0939,                 1.3387,                0.68229,                0.69374,                0.73727,                0.56467,                0.83017,                  1.046,                 1.3589,              0.0096712,              0.0096712,              0.0096712
                     38,                 0.8936,                 1.1062,                 1.3409,                0.67068,                0.71124,                0.74194,                0.57974,                0.80266,                0.98497,                 1.3424,              0.0096524,              0.0096524,              0.0096524
                     39,                0.88602,                 1.0738,                  1.336,                0.62293,                0.70685,                0.72675,                0.57007,                0.78394,                 1.0511,                 1.3241,              0.0096331,              0.0096331,              0.0096331
                     40,                0.90253,                 1.0928,                 1.3454,                0.64866,                0.70842,                0.73687,                 0.5744,                0.78039,                0.97725,                  1.328,              0.0096132,              0.0096132,              0.0096132
                     41,                0.90546,                 1.0818,                 1.3529,                0.65655,                0.71339,                0.74095,                0.57461,                0.80428,                 1.0202,                 1.3302,              0.0095929,              0.0095929,              0.0095929
                     42,                0.87382,                 1.0746,                 1.3233,                0.66742,                0.70138,                0.75442,                0.59545,                0.75231,                0.96052,                 1.2946,              0.0095721,              0.0095721,              0.0095721
                     43,                0.87936,                 1.0757,                 1.3278,                0.65543,                0.72216,                0.74556,                0.58157,                0.78392,                 0.9595,                 1.3222,              0.0095507,              0.0095507,              0.0095507
                     44,                 0.8728,                 1.0679,                  1.324,                0.67607,                0.70331,                0.73855,                0.58167,                0.77424,                0.97972,                 1.3037,              0.0095289,              0.0095289,              0.0095289
                     45,                0.87017,                 1.0618,                  1.312,                0.65596,                0.72615,                0.74287,                0.58509,                0.77859,                0.98028,                 1.3193,              0.0095066,              0.0095066,              0.0095066
                     46,                0.86686,                 1.0543,                 1.3133,                0.67311,                0.71539,                0.74512,                0.59517,                0.72304,                0.95737,                 1.2786,              0.0094838,              0.0094838,              0.0094838
                     47,                0.84887,                  1.052,                 1.2984,                0.69716,                0.70734,                0.75527,                0.59513,                0.77673,                 0.9623,                  1.303,              0.0094605,              0.0094605,              0.0094605
                     48,                0.84884,                 1.0414,                 1.3003,                0.67901,                0.72075,                 0.7561,                0.60764,                0.73436,                0.92801,                 1.2907,              0.0094367,              0.0094367,              0.0094367
                     49,                0.85026,                 1.0487,                 1.3034,                0.64639,                0.72148,                0.75141,                 0.5957,                0.76062,                0.99075,                 1.3022,              0.0094125,              0.0094125,              0.0094125
                     50,                0.85429,                 1.0598,                 1.3109,                0.68118,                0.70972,                0.75041,                0.60004,                0.71826,                0.96195,                 1.2689,              0.0093877,              0.0093877,              0.0093877
                     51,                 0.8435,                 1.0485,                 1.3015,                0.62148,                0.68959,                0.72271,                0.57261,                0.73884,                 1.0934,                 1.2857,              0.0093625,              0.0093625,              0.0093625
                     52,                0.85521,                 1.0492,                 1.3022,                 0.6398,                0.71436,                0.72424,                0.57087,                0.74716,                0.96601,                 1.2996,              0.0093368,              0.0093368,              0.0093368
                     53,                0.84947,                 1.0572,                 1.3037,                 0.6783,                0.67062,                0.73445,                0.59158,                0.70979,                0.95492,                 1.2622,              0.0093107,              0.0093107,              0.0093107
                     54,                0.84063,                 1.0421,                 1.2868,                0.62947,                0.68319,                0.69617,                0.56029,                0.73804,                 1.0655,                 1.2792,              0.0092841,              0.0092841,              0.0092841
                     55,                0.83652,                   1.04,                 1.2889,                0.62984,                0.71754,                0.74026,                0.58517,                0.73978,                 1.0063,                 1.2737,               0.009257,               0.009257,               0.009257
                     56,                0.82533,                 1.0423,                 1.2843,                0.68331,                0.71364,                 0.7674,                0.61791,                0.72416,                0.91599,                  1.268,              0.0092294,              0.0092294,              0.0092294
                     57,                 0.8351,                 1.0311,                 1.2765,                0.68012,                0.71489,                0.75517,                0.60844,                0.69422,                0.92005,                 1.2557,              0.0092014,              0.0092014,              0.0092014
                     58,                0.81531,                 1.0026,                 1.2664,                0.65806,                0.71442,                0.75152,                 0.6049,                0.70791,                0.94363,                 1.2554,               0.009173,               0.009173,               0.009173
                     59,                0.81093,                 1.0047,                 1.2753,                0.69407,                0.71072,                0.76623,                 0.6145,                0.72127,                0.91498,                 1.2653,               0.009144,               0.009144,               0.009144
                     60,                0.80929,                  1.012,                 1.2729,                0.71202,                0.72496,                0.77753,                0.62943,                0.70796,                0.88321,                 1.2557,              0.0091147,              0.0091147,              0.0091147
                     61,                0.80918,                0.98697,                 1.2661,                0.65781,                0.72741,                0.74862,                0.59683,                0.73307,                0.91068,                 1.2631,              0.0090849,              0.0090849,              0.0090849
                     62,                0.80191,                0.98404,                   1.26,                0.69788,                 0.7084,                0.75994,                0.61195,                0.70809,                0.89957,                 1.2547,              0.0090546,              0.0090546,              0.0090546
                     63,                0.80548,                0.99615,                 1.2613,                0.65215,                0.71152,                0.75366,                0.61793,                0.67226,                0.95905,                 1.2334,              0.0090239,              0.0090239,              0.0090239
                     64,                0.79863,                0.99309,                  1.254,                0.69164,                0.72948,                0.77177,                0.62398,                0.70173,                0.89052,                  1.262,              0.0089928,              0.0089928,              0.0089928
                     65,                0.80017,                0.99413,                 1.2568,                0.67868,                0.72105,                0.76243,                0.61582,                0.70682,                0.90432,                 1.2573,              0.0089613,              0.0089613,              0.0089613
                     66,                0.81485,                 1.0052,                  1.268,                0.68636,                0.70671,                0.76276,                0.61756,                0.71022,                0.89487,                 1.2544,              0.0089293,              0.0089293,              0.0089293
                     67,                0.79493,                0.99784,                 1.2524,                0.69372,                0.72972,                0.77478,                0.63077,                0.69697,                0.88798,                 1.2455,              0.0088969,              0.0088969,              0.0088969
                     68,                0.80025,                0.99607,                 1.2581,                0.68474,                0.72184,                 0.7626,                 0.6165,                0.70364,                0.91954,                 1.2543,               0.008864,               0.008864,               0.008864
                     69,                0.79927,                 1.0106,                 1.2636,                0.68986,                0.74639,                0.78036,                0.63172,                0.69176,                0.86183,                 1.2346,              0.0088308,              0.0088308,              0.0088308
                     70,                0.80094,                 1.0026,                 1.2571,                0.67756,                0.71841,                0.75018,                0.60378,                0.70142,                0.94697,                 1.2527,              0.0087971,              0.0087971,              0.0087971
                     71,                0.80869,                 1.0102,                 1.2683,                0.66248,                0.74141,                0.76065,                0.61846,                0.68882,                0.93761,                 1.2511,               0.008763,               0.008763,               0.008763
                     72,                0.79135,                0.98096,                 1.2554,                0.67298,                0.70847,                0.75929,                0.61546,                0.69482,                0.94102,                 1.2427,              0.0087286,              0.0087286,              0.0087286
                     73,                0.79437,                0.97795,                 1.2484,                0.67829,                0.74089,                0.77251,                0.63039,                 0.6947,                0.86555,                 1.2404,              0.0086937,              0.0086937,              0.0086937
                     74,                0.78259,                0.99191,                 1.2366,                0.71606,                0.71695,                0.77883,                 0.6319,                0.69843,                0.87895,                 1.2509,              0.0086584,              0.0086584,              0.0086584
                     75,                0.76749,                0.96872,                 1.2287,                0.70046,                0.72825,                0.77547,                0.63822,                0.65566,                0.87371,                  1.219,              0.0086227,              0.0086227,              0.0086227
                     76,                0.77651,                0.97153,                 1.2353,                0.68452,                0.72241,                0.76307,                0.62434,                0.68233,                0.89332,                 1.2408,              0.0085866,              0.0085866,              0.0085866
                     77,                 0.7774,                0.97519,                 1.2391,                0.67952,                0.73132,                 0.7681,                0.62959,                0.66424,                0.87417,                 1.2167,              0.0085502,              0.0085502,              0.0085502
                     78,                0.77032,                0.96892,                 1.2424,                0.70173,                0.72322,                0.76899,                0.63269,                0.67414,                0.85965,                  1.214,              0.0085133,              0.0085133,              0.0085133
