                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3908,                 3.9007,                 4.2174,                      0,                      0,                      0,                      0,                 5.4104,                 3.9354,                 4.1591,             0.00043342,             0.00043342,             0.00043342
                      2,                 5.1225,                 3.6328,                 4.1067,                      0,                      0,                      0,                      0,                 5.3377,                 3.8926,                 4.1029,             0.00088329,             0.00088329,             0.00088329
                      3,                  5.076,                 3.2961,                 3.9839,                0.00361,                 0.0171,                0.00187,                0.00051,                 5.1548,                 3.7669,                 3.9822,              0.0013323,              0.0013323,              0.0013323
                      4,                 4.6198,                 2.9668,                 3.9003,                0.54553,                0.11377,                0.04331,                0.01068,                 3.7125,                 2.4648,                 3.6247,              0.0016633,              0.0016633,              0.0016633
                      5,                 4.5183,                 2.8447,                 3.8266,                0.54683,                0.13879,                0.06075,                0.01627,                  3.681,                 6.2464,                 3.6526,              0.0016633,              0.0016633,              0.0016633
                      6,                 4.3371,                 2.5949,                 3.6713,                0.08562,                0.11501,                0.04255,                0.01283,                 4.2459,                  2.893,                 3.7319,              0.0016605,              0.0016605,              0.0016605
                      7,                  4.019,                 2.4112,                 3.5044,                0.01381,                0.04079,                0.00719,                0.00216,                 4.5532,                 20.919,                 6.0015,              0.0016568,              0.0016568,              0.0016568
                      8,                 3.7447,                 2.3011,                 3.4495,                0.10072,                0.24553,                0.08912,                0.02524,                 4.0387,                  2.674,                 3.7085,              0.0016523,              0.0016523,              0.0016523
                      9,                 3.5974,                 2.2446,                 3.3748,                0.10231,                0.27978,                 0.1005,                0.02562,                 4.0103,                 2.6318,                 3.7414,               0.001647,               0.001647,               0.001647
                     10,                 3.4995,                 2.1132,                 3.2453,                0.21614,                0.24421,                0.13861,                0.03698,                 3.6857,                 2.1301,                 3.5181,              0.0016409,              0.0016409,              0.0016409
                     11,                 3.4613,                 2.0489,                 3.1552,                0.23506,                 0.3091,                0.18271,                  0.051,                 3.3911,                 2.1652,                    3.3,              0.0016341,              0.0016341,              0.0016341
                     12,                 3.3274,                 1.9909,                 3.0699,                0.24081,                 0.2911,                0.17772,                0.05079,                  3.342,                 2.2577,                 3.2193,              0.0016264,              0.0016264,              0.0016264
                     13,                 3.2883,                 2.0034,                 3.0456,                0.30602,                0.34819,                0.24197,                0.07072,                  3.175,                 2.0187,                 3.0883,               0.001618,               0.001618,               0.001618
                     14,                 3.2495,                 1.9406,                 2.9918,                0.29633,                0.46349,                0.25487,                0.07361,                   2.94,                 1.7562,                 2.9219,              0.0016088,              0.0016088,              0.0016088
                     15,                 3.2922,                 1.8766,                 2.8489,                0.21323,                0.42115,                0.18352,                0.05052,                 3.1066,                 1.9311,                 2.9479,              0.0015988,              0.0015988,              0.0015988
                     16,                 3.2183,                 1.9187,                 2.8503,                 0.2247,                0.43366,                0.19748,                0.05559,                 3.0333,                 1.8874,                 2.9006,              0.0015881,              0.0015881,              0.0015881
                     17,                  3.067,                 1.8812,                 2.8473,                0.28939,                 0.4969,                0.25969,                0.07836,                 2.8742,                 1.7569,                 2.8242,              0.0015766,              0.0015766,              0.0015766
                     18,                  3.107,                 1.7879,                 2.7173,                0.29712,                    0.5,                0.27353,                0.08046,                 2.8007,                 1.6912,                 2.7209,              0.0015644,              0.0015644,              0.0015644
